time_start_time-trial,time_end_time-trial,rotation,chart-type,workerID,log-error,totalSequence,judged-true,ans-percentage-diff,opposite-ans,ans-trial,correct-ans,time_diff_time-trial
1452625155194,1452625160399,308.59436402097344,outerRadius,ET18PD73,-3,27,0,0,45,55,55,5.205
1452625054498,1452625101863,322.5364992208779,exploded,ET18PD73,1.0874628412503393,20,2,0.10526315789473684,81,21,19,47.365
1452625101864,1452625106917,223.62152670510113,square,ET18PD73,1.0874628412503393,21,-2,-0.046511627906976744,57,41,43,5.053
1452625106918,1452625111185,339.2567498423159,square,ET18PD73,2.0443941193584534,22,-4,-0.06557377049180328,39,57,61,4.267
1452625111186,1452625114249,20.837464090436697,ellipse,ET18PD73,3.189824558880017,23,9,0.5625,84,25,16,3.063
1452625305881,1452625308494,188.63353293389082,ellipse,ET18PD73,2.357552004618084,46,5,1.6666666666666667,97,8,3,2.613
1452625308495,1452625312692,106.39695986174047,pie,ET18PD73,1.0874628412503393,47,-2,-0.03225806451612903,38,60,62,4.197
1452625294506,1452625303436,207.0378519874066,exploded,ET18PD73,-3,44,0,0,53,47,47,8.93
1452625312693,1452625316020,212.47419596649706,pie,ET18PD73,1.6438561897747246,48,-3,-0.046153846153846156,35,62,65,3.327
1452625285575,1452625288817,19.50333533808589,outerRadius,ET18PD73,2.0443941193584534,42,4,0.046511627906976744,14,90,86,3.242
1452625288818,1452625294505,262.19907654449344,outerRadius,ET18PD73,0.16992500144231237,43,1,0.014285714285714285,30,71,70,5.687
1452625244833,1452625256424,181.146307149902,outerRadius,ET18PD73,2.0443941193584534,40,4,0.2857142857142857,86,18,14,11.591
1452625256425,1452625285574,87.19548946246505,ellipse,ET18PD73,-3,41,0,0,18,82,82,29.149
1452624914891,1452624921254,184.36338543891907,outerRadius,ET18PD73,2.8328900141647417,1,-7,-0.1044776119402985,33,60,67,6.363
1452624896952,1452624914891,233.71815863996744,pie,ET18PD73,-3,0,0,0,85,15,15,17.939
1452624925463,1452624931359,11.904468387365341,exploded,ET18PD73,-3,3,0,0,20,80,80,5.896
1452624921255,1452624925463,223.44933634623885,outerRadius,ET18PD73,-3,2,0,0,38,62,62,4.208
